%time,field
1559775764843333005,522.45551803
1559775764845556974,522.460884726
1559775764847403049,522.45164096
1559775764849354982,522.453822681
1559775764851100921,522.452276263
1559775764853336095,522.461264238
1559775764855278015,522.452226347
1559775764856976985,522.450744829
1559775764859009981,522.441350504
1559775764861290931,522.446893813
1559775764863928079,522.437338898
1559775764865381956,522.440003784
1559775764867182970,522.435194498
1559775764869256019,522.425932073
1559775764871325969,522.416713575
1559775764873255968,522.412514698
1559775764875461101,522.414931376
1559775764879390954,522.428415465
1559775764883277893,522.417822042
1559775764885591983,522.445740906
1559775764887111902,522.44450191
1559775764889379024,522.438610128
1559775764891402959,522.449583435
1559775764892983913,522.452359176
1559775764895164012,522.446354032
1559775764895512104,522.44677248
1559775764898998022,522.44556388
1559775764899476051,522.447960776
1559775764901235103,522.438727118
1559775764905585050,522.448887573
1559775764909430027,522.451165585
1559775764910917043,522.458514511
1559775764915080070,522.465330911
1559775764915651082,522.48508437
1559775764915973901,522.484904182
1559775764917026042,522.494945683
1559775764919291973,522.50080714
1559775764921416997,522.498139868
1559775764923170089,522.511845508
1559775764925576925,522.496468605
1559775764927331924,522.489613137
1559775764929420948,522.474787657
1559775764931569099,522.493525116
1559775764933478116,522.482564984
1559775764935054063,522.496779201
1559775764935668945,522.496591262
1559775764937411069,522.509911609
1559775764939274072,522.502921541
1559775764941387891,522.504362647
1559775764943025112,522.489739963
1559775764945543050,522.490058745
1559775764946064949,522.499217864
1559775764947360038,522.481214487
1559775764949510097,522.471312666
1559775764950910091,522.461827346
1559775764953371047,522.463912174
1559775764954904079,522.469982515
1559775764955461025,522.470279579
1559775764957515001,522.476051004
1559775764959291934,522.462873327
1559775764961396932,522.476340662
1559775764965945005,522.476477445
1559775764966540098,522.470445099
1559775764969434022,522.468334314
1559775764970963001,522.474742937
1559775764973368883,522.45620586
1559775764974947929,522.458867674
1559775764975317001,522.459314189
1559775764977334976,522.469728098
1559775764979146003,522.475910881
1559775764981615066,522.481952147
1559775764983004093,522.479811127
1559775764985505104,522.465826557
1559775764987256050,522.452467013
1559775764988972902,522.45511603
1559775764990920066,522.469009841
1559775764993279933,522.474931377
1559775764994868040,522.484465447
1559775764995443105,522.484729259
1559775764997417926,522.468016115
1559775764999555110,522.462582187
1559775765002279996,522.464719451
1559775765003247976,522.474301973
1559775765005790948,522.47465368
1559775765006519079,522.472951275
1559775765007905960,522.482055962
1559775765009390115,522.466088825
1559775765010840892,522.46814756
1559775765013407945,522.466537351
1559775765015022039,522.472129967
1559775765015600919,522.472527407
1559775765017616033,522.467374957
1559775765019645929,522.465783219
1559775765021523952,522.471455295
1559775765025111913,522.480818546
1559775765025540113,522.481066974
1559775765027002096,522.49002822
1559775765029201984,522.480822728
1559775765031322956,522.486442499
1559775765033128023,522.480763666
1559775765035712957,522.508606314
1559775765036158084,522.508390048
1559775765037081956,522.491387221
1559775765039052963,522.492812129
1559775765041249990,522.477074605
1559775765043188095,522.471926004
1559775765045139074,522.484197143
1559775765045694112,522.484381753
1559775765047013998,522.482585337
1559775765049204111,522.491221849
1559775765051079034,522.492894243
1559775765055170059,522.495134117
1559775765055545091,522.495200872
1559775765056976079,522.49292746
1559775765058964967,522.494638516
1559775765061054944,522.511427916
1559775765063240051,522.524351467
1559775765065336942,522.533366275
1559775765065768957,522.533046544
1559775765067151069,522.525790484
1559775765069210052,522.526971781
1559775765071666002,522.516498631
1559775765073254108,522.521095347
1559775765075381994,522.52218601
1559775765075853109,522.499275372
1559775765077016115,522.511793891
1559775765079058885,522.516968543
1559775765081026077,522.525221707
1559775765083059072,522.541544979
1559775765085947036,522.557791016
1559775765087575912,522.576255392
1559775765089102983,522.590182746
1559775765091275930,522.594048616
1559775765093463897,522.601665577
1559775765095573902,522.602199223
1559775765095938920,522.591202769
1559775765096950054,522.58232222
1559775765099143981,522.559922995
1559775765103180885,522.542120788
1559775765105438947,522.550734376
1559775765107074022,522.554235535
1559775765109260082,522.554449268
1559775765111090898,522.561765144
1559775765113172054,522.56181292
1559775765115336894,522.54964301
1559775765117161989,522.545122547
1559775765119081974,522.540821897
1559775765121114969,522.553068822
1559775765123034954,522.571955344
1559775765125570058,522.54802696
1559775765127350091,522.547529115
1559775765129399061,522.524055084
